Date,Open,High,Low,Close,Volume
2026-02-12T00:00:00.000-0300,37.55014770263952,37.55014770263952,36.316568581234904,36.62249755859375,39856000
2026-02-13T00:00:00.000-0300,36.67183758838585,36.67183758838585,36.05011269750051,36.4053840637207,27507000
2026-02-18T00:00:00.000-0300,36.58302018321468,36.89881612038085,36.36590906469373,36.70144271850586,32276700
2026-02-19T00:00:00.000-0300,37.00737212163648,37.73765258792064,36.948158970991415,37.31330108642578,48355000
2026-02-20T00:00:00.000-0300,37.17513704717168,37.47119903564453,36.95802969076538,37.47119903564453,51949800
2026-02-23T00:00:00.000-0300,37.471199417977154,38.73438319390099,37.35277311554584,38.08305358886719,55061500
2026-02-24T00:00:00.000-0300,38.34950652335686,39.13899637097568,38.34950652335686,39.05017852783203,43263600
2026-02-25T00:00:00.000-0300,39.415316876496135,39.44492533393372,38.51727146897012,39.05017852783203,26012300
2026-02-26T00:00:00.000-0300,38.783724059584145,39.27715567297474,38.45806115233027,39.08965301513672,29919100
2026-02-27T00:00:00.000-0300,39.395581152040364,39.74098556599322,38.81333541870117,38.81333541870117,38799000
2026-03-02T00:00:00.000-0300,40.75745229630417,40.98443039664411,39.98770015040484,40.58968734741211,83817000
2026-03-03T00:00:00.000-0300,41.15219961610922,41.448257847819576,40.214678745205894,40.412052154541016,93893800
2026-03-04T00:00:00.000-0300,40.41204955900141,40.62915690719972,39.40544862416932,39.967960357666016,50915600
2026-03-05T00:00:00.000-0300,39.997566203398414,40.23441503913798,39.45479217036822,40.15546417236328,53107600
2026-03-06T00:00:00.000-0300,41.34957260121386,42.55354323309497,40.87587491783566,41.60615539550781,87228000
2026-03-09T00:00:00.000-0300,42.68183542091375,43.68843638432475,42.109452930811905,42.593017578125,107124400
2026-03-10T00:00:00.000-0300,41.754185120225976,42.53380422024623,41.477860852575276,42.36603927612305,56706200
2026-03-11T00:00:00.000-0300,42.681834317647294,44.290422422315096,42.66209660147282,44.21147155761719,73234300
2026-03-12T00:00:00.000-0300,44.793723887514275,45.4845289396798,43.619357934042156,44.40884780883789,86124400
2026-03-13T00:00:00.000-0300,44.02397008834084,44.744379807511685,43.70817415019977,44.08317947387695,42520400
2026-03-16T00:00:00.000-0300,44.29042375181492,45.38584256258164,44.21147288474708,45.25754928588867,40474100
2026-03-17T00:00:00.000-0300,45.247677549496515,46.639154551977825,45.19833514095721,45.77071762084961,51025600
2026-03-18T00:00:00.000-0300,46.086513955665296,46.530603165567996,45.938482964169566,46.382572174072266,55074700
2026-03-19T00:00:00.000-0300,46.579947024233725,47.49773016506839,46.07664464915169,46.165462493896484,84865000
2026-03-20T00:00:00.000-0300,46.175331178449156,46.62928735822473,44.329894238109624,45.07004165649414,78125700
2026-03-23T00:00:00.000-0300,43.83646536389448,45.573346855690346,43.7377805411131,45.425315856933594,65252400
2026-03-24T00:00:00.000-0300,45.790455014181035,47.32009225561627,45.76084655759874,46.649024963378906,57455300
2026-03-25T00:00:00.000-0300,45.88914003874126,46.925345673795945,45.69176664049645,46.87600326538086,40532900
2026-03-26T00:00:00.000-0300,46.97469087760119,47.83326464637083,46.89574377235592,47.38917541503906,59986800
2026-03-27T00:00:00.000-0300,47.86286842691412,48.79051854220591,47.49773007238011,48.76091384887695,54170900
2026-03-30T00:00:00.000-0300,49.09644506605332,50.024095135166554,48.839862285944356,49.017494201660156,51454300
2026-03-31T00:00:00.000-0300,49.412242059014034,49.88593596182525,47.02403482843446,48.03063201904297,78931700
2026-04-01T00:00:00.000-0300,47.073377861720985,47.43851621078736,46.155594736420305,46.747711181640625,66488400
2026-04-02T00:00:00.000-0300,48.65235798960045,48.810255960696644,47.32009409376292,47.5174674987793,38536900
2026-04-06T00:00:00.000-0300,47.359567757585204,48.356297957016764,47.25101220065431,48.29708480834961,27848100
2026-04-07T00:00:00.000-0300,48.44511655547289,48.90894348249271,47.764182275779866,47.87273406982422,33362800
2026-04-08T00:00:00.000-0300,44.11278729715969,46.027300615194086,43.945018589854925,45.99769592285156,87580500
2026-04-09T00:00:00.000-0300,46.915480574987185,47.91221081735418,46.412178201097085,47.270751953125,58206500
2026-04-10T00:00:00.000-0300,46.905607576839444,48.385902404785156,46.905607576839444,48.385902404785156,42860900
2026-04-13T00:00:00.000-0300,49.09644816272282,49.5800128261699,48.60301652289646,49.12605285644531,60941100
