Papel,Nome,YahooTicker
BKBR3,ZAMP S.A.,BKBR3.SA
BLAU3,BLAU,BLAU3.SA
BLUT3,B TECH EQI,BLUT3.SA
BLUT4,B TECH EQI,BLUT4.SA
BMEB3,BANCO MERCANTIL DO BRASIL S/A,BMEB3.SA
BMEB4,BANCO MERCANTIL DO BRASIL S/A,BMEB4.SA
BMEF3,BMF,BMEF3.SA
BMGB11,BANCO BMG,BMGB11.SA
BMGB4,BANCO BMG,BMGB4.SA
BMIN3,BANCO MERCANTIL DE INVESTIMENTOS SA,BMIN3.SA
BMIN4,BANCO MERCANTIL DE INVESTIMENTOS SA,BMIN4.SA
BMKS3,MONARK,BMKS3.SA
BMOB3,BEMOBI TECH,BMOB3.SA
BMTO3,BRASMOTOR S.A,BMTO3.SA
BMTO4,BRASMOTOR S.A,BMTO4.SA
BNBR3,BANCO DO NORDESTE,BNBR3.SA
BNBR4,BANCO DO NORDESTE,BNBR4.SA
BNCA3,NOSSA CAIXA-NOSSO BANCO,BNCA3.SA
BOAS3,BOA VISTA,BOAS3.SA
BOBR3,BOMBRIL SA,BOBR3.SA
BOBR4,BOMBRIL SA,BOBR4.SA
BOVH3,Bovespa Hld,BOVH3.SA
BPAC11,BTGP BANCO,BPAC11.SA
BPAC3,BTGP BANCO,BPAC3.SA
BPAC5,BTGP BANCO,BPAC5.SA
BPAN4,BANCO PAN,BPAN4.SA
BPAR3,BANPARÁ S.A.,BPAR3.SA
BPAT33,Patagonia,BPAT33.SA
BPHA3,BRAZIL PHARMA S.A.,BPHA3.SA
BPIA3,BEP,BPIA3.SA
BPNM3,BANCO PAN,BPNM3.SA
BPNM4,BANCO PAN,BPNM4.SA
BRAP3,BRADESPAR S/A,BRAP3.SA
BRAP4,BRADESPAR S/A,BRAP4.SA
BRAV3,BRAVA,BRAV3.SA
BRBI11,BR PARTNERS,BRBI11.SA
BRDT3,VIBRA,BRDT3.SA
BRFS3,BRF Foods,BRFS3.SA
BRGE11,CONSORCIO ALFA,BRGE11.SA
BRGE12,CONSORCIO ALFA,BRGE12.SA
BRGE3,CONSORCIO ALFA,BRGE3.SA
BRGE5,CONSORCIO ALFA,BRGE5.SA
BRGE6,CONSORCIO ALFA,BRGE6.SA
BRGE7,CONSORCIO ALFA,BRGE7.SA
BRGE8,CONSORCIO ALFA,BRGE8.SA
BRIN3,ALPER S.A.,BRIN3.SA
BRIT3,BRISANET,BRIT3.SA
BRIV3,ALFA DE INVESTIMENTO,BRIV3.SA
BRIV4,ALFA DE INVESTIMENTO,BRIV4.SA
BRKM3,BRASKEM,BRKM3.SA
BRKM5,BRASKEM,BRKM5.SA
BRKM6,BRASKEM,BRKM6.SA
BRML3,BR MALLS PARTICIPAÇÔES S/A,BRML3.SA
BRPR3,BR PROPERTIES,BRPR3.SA
BRSR3,BANRISUL S/A,BRSR3.SA
BRSR4,BANRISUL S/A,BRSR4.SA
BRSR5,BANRISUL S/A,BRSR5.SA
BRSR6,BANRISUL S/A,BRSR6.SA
BRST3,BRISANET,BRST3.SA
