Date,Open,High,Low,Close,Volume,RSI_14,MACD,MME_9,MME_20,MME_50,MME_200,SMA_20,VWAP,ATR_14,MACD_Signal,MACD_Hist,BB_Media,BB_Superior,BB_Inferior,BB_Largura,DI_Plus_14,DI_Minus_14,ADX_14,Stoch_K,Stoch_D,Ichimoku_Tenkan,Ichimoku_Kijun,OBV,Pivot,Ichimoku_Senkou_A,Ichimoku_Senkou_B,Resistencia_1,Suporte_1,SuperTrend,SuperTrend_Direcao
2026-02-12T03:00:00.000000,37.55014770263952,37.55014770263952,36.316568581234904,36.62249755859375,39856000,,0.0,36.62249755859375,36.62249755859375,36.62249755859375,36.62249755859375,,36.82973794748939,1.2335791214046168,0.0,0.0,,,,,0.0,0.0,NaN,,,,,0,,,,,,33.23262077772336,1
2026-02-13T03:00:00.000000,36.67183758838585,36.67183758838585,36.05011269750051,36.4053840637207,27507000,0.0,-0.01731959503261038,36.57907485961914,36.60182008289156,36.613983303892844,36.62033722531143,,36.64436804012119,1.189875247796097,-0.003463919006522076,-0.013855676026088304,,,,,0.0,1.599542738546558,NaN,,,,,-27507000,36.82973794748939,,,37.34290731374388,36.10932819233926,33.23262077772336,1
2026-02-18T03:00:00.000000,36.58302018321468,36.89881612038085,36.36590906469373,36.70144271850586,32276700,9.49351991730937,-0.007074489391165173,36.60354843139648,36.611307952950064,36.61741308485806,36.62114424514421,,36.64793820278981,1.1429489483597415,-0.004186033083450696,-0.0028884563077144773,,,,,1.418501876975727,1.5462715421091155,NaN,,,,,4769700,36.375778116535685,,,36.70144353557086,36.07971864468552,33.23262077772336,1
2026-02-19T03:00:00.000000,37.00737212163648,37.73765258792064,36.948158970991415,37.31330108642578,48355000,25.28109984428764,0.049842138274705405,36.745498962402344,36.678164441852516,36.64470281040973,36.62803137789328,,36.87178391388083,1.1353247284351016,0.006619601188180525,0.04322253708652488,,,,,6.60353705081225,1.4454657806384874,NaN,,,,,53124700,36.65538930119348,,,36.94486953769323,36.41196248200611,33.93693159415073,1
2026-02-20T03:00:00.000000,37.17513704717168,37.47119903564453,36.95802969076538,37.47119903564453,51949800,28.73585470838715,0.10646278395316955,36.890638977050784,36.753691546023184,36.677114427085606,36.636421105831104,,36.983080535768735,1.0908850581811051,0.02658823774117833,0.07987454621199122,,,,,6.381650849535545,1.3968965201537762,NaN,,,,,105074500,37.333037548445944,,,37.71791612590047,36.928422508971245,33.94195918866164,1
2026-02-23T03:00:00.000000,37.471199417977154,38.73438319390099,37.35277311554584,38.08305358886719,55061500,40.26221681205218,0.19841934781641157,37.129121899414066,36.88029745486547,36.73224929617508,36.65081545889614,,37.21490690528596,1.1116511310506798,0.06095445975622499,0.13746488806018659,,,,,13.931646874966841,1.2728875279210383,NaN,,,,,160136000,37.30014258735148,,,37.64225548393758,37.12908613905843,34.70862476157137,1
2026-02-24T03:00:00.000000,38.34950652335686,39.13899637097568,38.34950652335686,39.05017852783203,43263600,53.158650894451775,0.34535346736667805,37.51333322509766,37.086952795148,36.82314848173025,36.67468971828854,,37.451527687751856,1.1076719632690952,0.1178342612783156,0.22751920608836246,,,,,15.592162713645699,1.1862130532367459,NaN,,,,,203399600,38.05673663277133,,,38.76070014999683,37.37909007164168,35.42123555735898,1
2026-02-25T03:00:00.000000,39.415316876496135,39.44492533393372,38.51727146897012,39.05017852783203,26012300,53.158650894451775,0.4565371397508784,37.820702285644536,37.27392667445124,36.910482993342086,36.698326422861115,,37.576069421142236,1.0948135276758453,0.18557483697282817,0.2709623027780502,,,,,16.64444669258229,1.1144203235233947,NaN,,,,,203399600,38.846227140721524,,,39.34294775808619,38.553457910467365,35.696657818424384,1
2026-02-26T03:00:00.000000,38.783724059584145,39.27715567297474,38.45806115233027,39.08965301513672,29919100,53.63249723315843,0.5415931140847334,38.07449243154297,37.44685299261176,36.9959406412556,36.72212071731162,,37.691416759130995,1.0751193128878904,0.2567784923952092,0.2848146216895242,,,,,15.738675124346328,1.447155226475043,NaN,,,37.74751901571712,,233318700,39.00412511024528,,,39.490978751520444,38.56332488655685,35.696657818424384,1
2026-02-27T03:00:00.000000,39.395581152040364,39.74098556599322,38.81333541870117,38.81333541870117,38799000,49.83238408960559,0.5800179795698526,38.222261028974614,37.57699417604885,37.06721102468484,36.74292882379311,,37.8327058721783,1.064585801059616,0.3214263898301379,0.2585915897397147,,,,,17.87116143115568,1.3570830555721267,NaN,,,37.89554913174686,,194519700,38.94162328014724,,,39.425185407964214,38.60609088731974,36.08340308916834,1
2026-03-02T03:00:00.000000,40.75745229630417,40.98443039664411,39.98770015040484,40.58968734741211,83817000,66.3426375555763,0.7452163274161023,38.695746292662115,37.863917335226304,37.2053473510663,36.78120502800822,,38.30519683215871,1.143622170836996,0.40618437734733076,0.33903195006877157,,,,,23.21411574979414,1.173058978281453,NaN,,,38.67516973066892,,278336700,39.12255213446518,,,39.43176885022919,38.50411870293714,37.055198761013486,1
2026-03-03T03:00:00.000000,41.15219961610922,41.448257847819576,40.214678745205894,40.412052154541016,93893800,64.07182111741518,0.8519824098880804,39.0390074650379,38.1065968418277,37.33110048061433,36.81733286011303,,38.69782015235768,1.150047665963902,0.4953439838554807,0.3566384260325997,,,,,24.316324539429196,1.0831831357050552,NaN,,,39.198208409405495,,184442900,40.52060596482035,,,41.053511779235855,40.05678153299659,37.381325298621036,1
2026-03-04T03:00:00.000000,40.41204955900141,40.62915690719972,39.40544862416932,39.967960357666016,50915600,58.665515306703206,0.8904957225027346,39.224798043563524,38.28386955762183,37.43450675030263,36.84868238745186,,38.80454794927428,1.1553091386115093,0.5743743315849315,0.3161213909178031,,,,,22.47661361844965,6.004408439221139,NaN,,,39.20314376929248,,133527300,40.691662915855495,,,41.168647086505096,39.935067983891415,37.381325298621036,1
2026-03-05T03:00:00.000000,39.997566203398414,40.23441503913798,39.45479217036822,40.15546417236328,53107600,60.19279055641823,0.9254794401395969,39.41093126932348,38.46211666378768,37.54121096293246,36.88158568879426,,38.89456546623511,1.1284744050513842,0.6445953532958646,0.28088408684373234,,,,,21.367449783059794,5.708106122210757,NaN,76.0511501736873,,39.4005154816827,,186634900,40.000855296345016,,,40.596261968520714,39.37255368549031,37.381325298621036,1
2026-03-06T03:00:00.000000,41.34957260121386,42.55354323309497,40.87587491783566,41.60615539550781,87228000,69.56311368446723,1.0580662174547797,39.84997609456035,38.7615489239515,37.70062054852365,36.92859633264216,,39.21326794739229,1.2191604518856918,0.7272895261276476,0.33077669132713206,,,,,31.952719179498004,4.906120405205033,NaN,85.43249086152406,,40.45152487822591,,273862900,39.948223793956494,,,40.441655417544766,39.66203254877501,38.05722771980824,1
2026-03-09T03:00:00.000000,42.68183542091375,43.68843638432475,42.109452930811905,42.593017578125,107124400,74.03989152454977,1.2286110607742486,40.398584391273275,39.12645070053945,37.89247925556684,36.98495873309472,,39.65499827619337,1.2808119188093523,0.8275538330569678,0.4010572277172808,,,,,34.57130234677033,4.336396896313106,NaN,85.04042718607501,82.17468940709546,41.07324876832751,,380987300,41.67852451547948,,,42.4811741131233,40.80350579786399,39.05650890114027,1
2026-03-10T03:00:00.000000,41.754185120225976,42.53380422024623,41.477860852575276,42.36603927612305,56706200,71.43731814976533,1.3301210186480503,40.79207536824323,39.43498294583313,38.06791298186316,37.0385018230751,,39.80634484078523,1.268979405005093,0.9280672701751843,0.402053748472866,,,,,32.401255852772536,7.619318894779399,NaN,80.38067238025256,83.61786347595056,41.07324876832751,,324281100,42.79696896442056,,,43.48448499802921,41.90550154451636,39.05650890114027,1
2026-03-11T03:00:00.000000,42.681834317647294,44.290422422315096,42.66209660147282,44.21147155761719,73234300,78.1593577634138,1.5417075093105552,41.47595460611802,39.8898866231459,38.308836847579,37.109874656254625,,40.09333532306195,1.3157939579470186,1.0507953180022584,0.4909121913082968,,,,,38.55231603553999,6.8233579261175885,NaN,98.9232591926207,88.11478625298275,41.55187892050813,,397515400,42.12590144964818,,,42.77394204672109,41.71799867905013,39.528877638052904,1
2026-03-12T03:00:00.000000,44.793723887514275,45.4845289396798,43.619357934042156,44.40884780883789,86124400,78.73577002647603,1.7056561985673255,42.062533246662,40.320263878926085,38.5480529637068,37.182501254787795,,40.44341271804583,1.3550351756392058,1.1817674941152718,0.5238887044520537,,,,,41.05641495493273,6.152488184996094,NaN,86.77184664535265,88.69192607274198,42.44498878192456,,483639800,43.7213301938017,,,44.78056378613058,43.1522379652883,40.48683790994336,1
2026-03-13T03:00:00.000000,44.02397008834084,44.744379807511685,43.70817415019977,44.08317947387695,42520400,75.2087998580614,1.7886891084603036,42.46666249210499,40.67863679273093,38.76511674841936,37.251164719654355,39.9497049331665,40.584252213972206,1.3322616386158281,1.3031518169842782,0.4855372914760254,39.9497049331665,45.09555429848071,34.803855567852295,0.2576163891033943,38.77549825701233,5.810682573124726,NaN,80.35956463714888,88.68489015837407,42.44498878192456,,441119400,44.50424489418661,,,45.38913185433107,43.52396084869343,40.48683790994336,1
2026-03-16T03:00:00.000000,44.29042375181492,45.38584256258164,44.21147288474708,45.25754928588867,40474100,78.88237414666084,1.927041383454771,43.024839850861724,41.11472369684119,39.01972194596718,37.33083023772634,40.38145751953125,40.735573516814746,1.3301474564793179,1.4279297302783767,0.4991116531763944,40.38145751953125,45.79398847478601,34.968926564276494,0.2680701137464831,39.50768696044384,5.404209823950628,NaN,96.76964784212375,87.96701970820841,42.44498878192456,,481593500,44.17857781052946,,,44.648981470859155,43.61277581354724,40.808215354226405,1
2026-03-17T03:00:00.000000,45.247677549496515,46.639154551977825,45.19833514095721,45.77071762084961,51025600,80.25895305608647,2.054412960288289,43.5740154048593,41.558151689603896,39.28446687439394,37.41480921666289,40.849724197387694,40.95043805595762,1.3380525960894103,1.553226376280359,0.5011865840079299,40.849724197387694,46.43170789598924,35.26774049878615,0.27329358071692983,43.1594629434985,4.988547623187843,NaN,89.38483050241638,88.83801432722969,43.04697336117302,,532619100,44.95162157773913,,,45.69177027073118,44.51740059289663,41.90458705819929,1
2026-03-18T03:00:00.000000,46.086513955665296,46.530603165567996,45.938482964169566,46.382572174072266,55074700,81.78367229431399,2.1796023029615057,44.13572675870189,42.017620307172315,39.562823944969566,37.50404068887592,41.333780670166014,41.18095714568539,1.2967549495629087,1.6785015616165884,0.5011007413449173,41.333780670166014,47.0778124228033,35.58974891752873,0.2779340123021083,41.35296169977977,4.7797448051954925,NaN,96.72133519142388,94.29193784532134,43.75751473490674,,587693800,45.869402437928215,,,46.54046973489922,45.099650323878606,42.34427821618006,1
2026-03-19T03:00:00.000000,46.579947024233725,47.49773016506839,46.07664464915169,46.165462493896484,84865000,79.43906822195889,2.2355270578856263,44.54167390574081,42.41265289638414,39.821750946888265,37.59022399041841,41.77638874053955,41.51807834905808,1.3056357043024653,1.789906660870396,0.4456203970152304,41.77638874053955,47.57990643543352,35.97287104564558,0.27783721235159187,43.428940305077376,4.408145520535137,NaN,83.53656302689777,89.88090957357934,44.48779550882183,,502828800,46.283886101269935,,,46.629289238370305,46.037169036971875,42.870280294202644,1
